instance_path;solver_seed;rotation;mirror_plates;faithful;round2disc;pricing;hybridization;aggressive_hybridization;hybridizations;first_borns_killed_by_hybridization;aggressive_hybridization_extra_vars;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/G2OPP/Clautiaux42/E13X15;4;0;0;0;1;none;1;1;2202;261;2127;20;3860;289;20;3860;289;0;20;3860;289;20;3860;289;0.00019503;3892;11989;13346;0.000902091;0.011950969696044922;BUILT_MODEL;MathOptInterface.INFEASIBLE;0.7723619937896729;0.04;NaN;NaN;-1;4.0531158447265625e-6;0.7723698616027832;0.772520181;false;0.094864426;0.869802423;0.093194378;./experiments_outputs/2022-02-21T18:51:16/jl_0T4OES
../instances/G2OPP/Clautiaux42/E00N23;5;0;0;0;1;none;1;0;5;5;0;33;3110;341;33;3110;341;0;33;3110;341;33;3110;341;0.000178017;3157;9840;9081;0.000959199;0.03125810623168945;BUILT_MODEL;MathOptInterface.INFEASIBLE;1.4454150199890137;0.05;NaN;NaN;-1;3.0994415283203125e-6;1.4454209804534912;1.445569279;false;0.094311615;1.542063694;0.092768929;./experiments_outputs/2022-02-21T18:51:16/jl_0UIXjT
../instances/G2OPP/Clautiaux42/E00X23;10;0;0;0;1;none;0;0;0;0;0;26;3175;351;26;3175;351;0;26;3175;351;26;3175;351;0.000177536;3201;9967;9228;0.000877785;0.030900955200195312;BUILT_MODEL;MathOptInterface.INFEASIBLE;1.9534859657287598;0.06;NaN;NaN;-1;4.0531158447265625e-6;1.9534928798675537;1.953640316;false;0.094635561;2.050431454;0.093140195;./experiments_outputs/2022-02-21T18:51:16/jl_0vkFwQ
../instances/G2OPP/Clautiaux42/E20F15;10;0;0;0;1;none;0;0;0;0;0;32;3063;345;32;3063;345;0;32;3063;345;32;3063;345;0.000171646;3095;9644;8923;0.000871262;0.029309988021850586;BUILT_MODEL;MathOptInterface.INFEASIBLE;58.147995948791504;0.04;NaN;NaN;-1;2.86102294921875e-6;58.14800214767456;58.148150669;false;0.094334745;58.244558836;0.092757774;./experiments_outputs/2022-02-21T18:51:16/jl_0YjSVR
../instances/G2OPP/Clautiaux42/E08N15;6;0;0;0;1;none;0;0;0;0;0;30;2367;291;30;2367;291;0;30;2367;291;30;2367;291;0.000135326;2397;7494;6890;0.00067517;0.026669025421142578;BUILT_MODEL;MathOptInterface.INFEASIBLE;1.369523048400879;0.03;NaN;NaN;-1;5.0067901611328125e-6;1.3695309162139893;1.369677836;false;0.093645424;1.46552709;0.092428888;./experiments_outputs/2022-02-21T18:51:16/jl_10UtpU
../instances/G2OPP/Clautiaux42/E10N15;4;0;0;0;1;none;1;0;547;253;0;31;1824;222;31;1824;222;0;31;1824;222;31;1824;222;0.000117222;1868;5852;5709;0.000645114;0.007433176040649414;BUILT_MODEL;MathOptInterface.INFEASIBLE;0.09040021896362305;0.03;NaN;NaN;-1;2.86102294921875e-6;0.09040617942810059;0.090551998;false;0.093403567;0.186221362;0.092528357;./experiments_outputs/2022-02-21T18:51:16/jl_13SwgT
../instances/G2OPP/Clautiaux42/E05F15;5;0;0;0;1;none;1;1;2300;256;2211;28;4287;336;28;4287;336;0;28;4287;336;28;4287;336;0.000214437;4329;13351;14741;0.001070753;0.030894994735717773;BUILT_MODEL;MathOptInterface.INFEASIBLE;5.001075983047485;0.04;NaN;NaN;-1;4.0531158447265625e-6;5.001083850860596;5.001234499;false;0.094750619;5.098225991;0.092938117;./experiments_outputs/2022-02-21T18:51:16/jl_13VvWT
../instances/G2OPP/Clautiaux42/E10N10;5;0;0;0;1;none;1;0;268;193;0;25;1279;188;25;1279;188;0;25;1279;188;25;1279;188;8.9059e-5;1314;4150;3857;0.000477636;0.006105184555053711;BUILT_MODEL;MathOptInterface.INFEASIBLE;0.21797513961791992;0.03;NaN;NaN;-1;2.86102294921875e-6;0.21798205375671387;0.218124802;false;0.093292046;0.313662597;0.092585846;./experiments_outputs/2022-02-21T18:51:16/jl_13wkZQ
../instances/G2OPP/Clautiaux42/E07F15;8;0;0;0;1;none;1;1;1986;298;1570;32;3357;292;32;3357;292;0;32;3357;292;32;3357;292;0.000171896;3403;10529;11668;0.000873126;0.03119492530822754;BUILT_MODEL;MathOptInterface.INFEASIBLE;12.59838604927063;0.03;NaN;NaN;-1;4.0531158447265625e-6;12.59839391708374;12.598541938;false;0.094339831;12.695069127;0.092784893;./experiments_outputs/2022-02-21T18:51:16/jl_18syQR
../instances/G2OPP/Clautiaux42/E08F15;8;0;0;0;1;none;1;0;14;14;0;23;2845;307;23;2845;307;0;23;2845;307;23;2845;307;0.000169501;2882;8981;8312;0.000915656;0.028007984161376953;BUILT_MODEL;MathOptInterface.INFEASIBLE;7.588153123855591;0.03;NaN;NaN;-1;4.0531158447265625e-6;7.588160991668701;7.588310067;false;0.094159429;7.684631556;0.092758603;./experiments_outputs/2022-02-21T18:51:16/jl_18UjfQ
