instance_path;solver_seed;rotation;mirror_plates;faithful;round2disc;pricing;hybridization;aggressive_hybridization;hybridizations;first_borns_killed_by_hybridization;aggressive_hybridization_extra_vars;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_value;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/Hchl9;5;0;0;0;1;none;1;1;32424;16523;9839;3022;40708;1975;3022;40708;1975;0;3022;40708;1975;3022;40708;1975;0.001785765;43765;133340;143423;0.012741178;0.15205597877502441;BUILT_MODEL;MathOptInterface.OPTIMAL;2.9681410789489746;5283.02082;1.38;5240.0;5240.0;5240;0.018639802932739258;2.9867849349975586;2.98684618;false;0.106807221;3.096197502;0.112788278;./experiments_outputs/2022-03-04T14:37:48/jl_18yhRV
../instances/STS4;9;0;0;0;1;none;1;0;19167;5830;0;2604;40885;2736;2604;40885;2736;0;2604;40885;2736;2604;40885;2736;0.008145625;43509;133303;139768;0.013781761;0.150529146194458;BUILT_MODEL;MathOptInterface.OPTIMAL;3.306885004043579;9728.11111;2.57;9700.0;9700.0;9700;0.01830315589904785;3.3251919746398926;3.325249611;false;0.106020955;3.433745989;0.112656326;./experiments_outputs/2022-03-04T14:37:48/jl_1akTFV
../instances/cgcut1;4;0;0;0;1;none;1;1;510;219;283;8;658;89;8;658;89;0;8;658;89;8;658;89;5.2699e-5;673;2122;2246;0.000218083;0.004149913787841797;BUILT_MODEL;MathOptInterface.OPTIMAL;0.013739824295043945;244.0;0.01;244.0;244.0;244;0.0007660388946533203;0.01450800895690918;0.014548467;false;0.095666554;0.112374496;0.095264572;./experiments_outputs/2022-03-04T14:37:48/jl_1ao83U
../instances/OF1;4;0;0;0;1;none;0;0;0;0;0;61;3207;386;61;3207;386;0;61;3207;386;61;3207;386;0.000178699;3268;10200;9430;0.000973115;0.010742902755737305;BUILT_MODEL;MathOptInterface.OPTIMAL;0.08318209648132324;2752.66666;0.04;2737.0;2737.0;2737;0.0018317699432373047;0.08501791954040527;0.085064821;false;0.096163939;0.183340054;0.094775195;./experiments_outputs/2022-03-04T14:37:48/jl_1BaV9T
../instances/CHL2;2;0;0;0;1;none;1;1;3488;2119;28;322;3975;475;322;3975;475;0;322;3975;475;322;3975;475;0.000209948;4307;13416;13916;0.001525482;0.03443288803100586;BUILT_MODEL;MathOptInterface.OPTIMAL;0.13509202003479004;2398.0;0.05;2326.0;2326.0;2326;0.0024030208587646484;0.1374979019165039;0.137544354;false;0.098389558;0.238227491;0.096620473;./experiments_outputs/2022-03-04T14:37:48/jl_1Cio8X
../instances/Hchl2;7;0;0;0;1;none;1;1;167121;51550;84368;8114;207957;5840;8114;207957;5840;0;8114;207957;5840;8114;207957;5840;0.01218713;216106;654228;753706;0.067732726;0.6828451156616211;BUILT_MODEL;MathOptInterface.OPTIMAL;65.69925117492676;10053.1765;22.24;9954.0;9954.0;9954;0.09897184371948242;65.7982280254364;65.798290398;false;0.114254467;65.914873951;0.178513318;./experiments_outputs/2022-03-04T14:37:48/jl_1G7B3X
../instances/Hchl6s;10;0;0;0;1;none;1;1;185303;87246;46128;7317;225277;8423;7317;225277;8423;0;7317;225277;8423;7317;225277;8423;0.007898509;232616;706315;786181;0.09915955;0.7502110004425049;BUILT_MODEL;MathOptInterface.OPTIMAL;37.514413833618164;61332.7998;26.4;61040.0;61040.0;61040;0.10623407363891602;37.62065315246582;37.62073111;false;0.117407036;37.740428817;0.185106727;./experiments_outputs/2022-03-04T14:37:48/jl_1GnwkV
../instances/CHL1s;7;0;0;0;1;none;1;1;81986;41908;33098;3306;124185;4318;3306;124185;4318;0;3306;124185;4318;3306;124185;4318;0.01210069;127521;386941;417312;0.043764399;0.40572690963745117;BUILT_MODEL;MathOptInterface.OPTIMAL;25.167913913726807;13191.7222;9.88;13099.0;13099.0;13099;0.0595550537109375;25.227473974227905;25.227563551;false;0.110552648;25.340360815;0.147345451;./experiments_outputs/2022-03-04T14:37:48/jl_1jxYIX
../instances/CHL1s;2;0;0;0;1;none;0;0;0;0;0;3306;104579;4318;3306;104579;4318;0;3306;104579;4318;3306;104579;4318;0.003764369;107885;328003;316363;0.036080608;0.319047212600708;BUILT_MODEL;MathOptInterface.OPTIMAL;22.471397161483765;13192.0;7.66;13099.0;13099.0;13099;0.05266690254211426;22.52406907081604;22.52415685;false;0.104104766;22.630334877;0.139572951;./experiments_outputs/2022-03-04T14:37:48/jl_1kzlkY
../instances/HH;5;0;0;0;1;none;0;0;0;0;0;46;4324;532;46;4324;532;0;46;4324;532;46;4324;532;0.000241618;4370;13647;12600;0.001216106;0.03188300132751465;BUILT_MODEL;MathOptInterface.OPTIMAL;3.119288921356201;12028.0435;0.07;11586.000072706433;11586.000072706433;11586;0.00263214111328125;3.121925115585327;3.12196248;false;0.097356192;3.22150206;0.095556068;./experiments_outputs/2022-03-04T14:37:48/jl_1lNAHU
