instance_name;pricing_method;disabled_redundant_cut;disabled_cut_position;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;qt_pevars_restricted;qt_cmvars_restricted;qt_plates_restricted;qt_pevars_priced_restricted;qt_cmvars_priced_restricted;qt_plates_priced_restricted;qt_pevars_before_iterated;qt_cmvars_before_iterated;qt_plates_before_iterated;qt_pevars_after_iterated;qt_cmvars_after_iterated;qt_plates_after_iterated;qt_pevars_after_final;qt_cmvars_after_final;qt_plates_after_final;qt_pevars_after_pricing;qt_cmvars_after_pricing;qt_plates_after_pricing;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;build_stop_reason;had_timeout;finished;datafile
../instances/A4;none;false;false;20;165154;4860;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20;165154;4860;20;165154;4860;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_4IpaXk
../instances/Hchl4s;none;true;true;10;525892;9670;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;525892;9670;10;525892;9670;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_4J8lTF
../instances/Hchl3s;none;false;false;10;506117;9670;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;506117;9670;10;506117;9670;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_4eb9Kg
../instances/gcut1;none;false;true;10;35029;4429;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;35029;4429;10;35029;4429;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_4iOM7h
../instances/STS4s;none;true;true;20;352570;7224;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20;352570;7224;20;352570;7224;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_4iSs0L
../instances/cgcut1;furini;false;false;7;737;140;7;536;130;7;349;130;7;581;140;7;585;140;-1;-1;-1;-1;-1;-1;-1;-1;-1;FOUND_OPTIMUM;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_4jLWTH
../instances/CW3;furini;false;false;40;2329788;33224;40;189407;9246;40;188497;9246;40;1170291;33224;40;1196845;33224;40;430243;33224;40;430243;33224;40;213849;18651;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_57sGhr
../instances/2s;none;true;false;10;49730;2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;49730;2017;10;49730;2017;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_5GnZWb
../instances/okp2;furini;false;false;30;262102;9506;30;128553;9206;-1;128553;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;NOT_REACHED;true;false;./experiments_outputs/2020-07-06T19:05:19/jl_5QBccg
../instances/CW3;none;true;true;40;2837822;33224;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;2837822;33224;40;2837822;33224;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_5VTAji
../instances/CHL6;furini;false;false;30;776048;13170;30;191773;8187;30;178083;8187;30;344225;13170;30;346995;13170;30;38943;13170;30;38943;13170;30;6876;2987;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_5fhf59
../instances/STS4;none;false;false;20;332980;7224;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20;332980;7224;20;332980;7224;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_5lb0za
../instances/W;none;false;true;20;37275;1860;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20;37275;1860;20;37275;1860;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_5lbxpK
../instances/Hchl3s;none;false;true;10;521950;9670;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;521950;9670;10;521950;9670;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_5nmFUL
../instances/STS2;none;false;false;30;105735;3383;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;105735;3383;30;105735;3383;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_650Z4W
../instances/gcut5;none;true;false;10;174447;24470;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;174447;24470;10;174447;24470;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_6L6F64
../instances/CU2;none;false;true;35;905100;16068;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;35;905100;16068;35;905100;16068;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_6LLm0O
../instances/gcut3;furini;false;false;30;1107065;32681;30;73394;5635;30;20544;5635;30;857747;32681;30;862080;32681;30;191767;32681;30;191767;32681;28;27822;5019;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_6RNgVg
../instances/okp3;none;true;true;30;261044;8356;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;261044;8356;30;261044;8356;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_6Rj7RS
../instances/A2s;none;false;false;20;47287;2276;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20;47287;2276;20;47287;2276;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_6bUD1N
../instances/CHL2s;none;false;false;10;48113;2348;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;48113;2348;10;48113;2348;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_6rrdsP
../instances/CW1;furini;false;false;25;338989;8407;25;53329;3413;25;53018;3413;25;180717;8407;25;184504;8407;25;118732;8407;25;118732;8407;25;100603;7356;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_74RIpg
../instances/gcut8;none;false;true;50;14065634;136524;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;14065634;136524;50;14065634;136524;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_77QasC
../instances/gcut4;furini;false;false;50;2010322;35176;50;185852;8668;50;52618;8668;50;1357239;35176;50;1368141;35176;50;241547;35176;50;241547;35176;50;70750;11180;BUILT_MODEL;false;true;./experiments_outputs/2020-07-06T19:05:19/jl_7SZKwI
