instance_name;model_variant;vars;plates
gcut1;both_reductions;7.2;11.6
gcut1;priced;3.6;
wang20;complete;38485;1860
wang20;only_redundant_cut;95.8;100.0
wang20;only_cut_position;86.7;100.0
wang20;both_reductions;82.5;100.0
wang20;priced;9.7;
2s;complete;52590;2017
2s;only_redundant_cut;98.5;100.0
2s;only_cut_position;94.6;100.0
2s;both_reductions;93.1;100.0
2s;priced;16.0;
3s;complete;38485;1860
3s;only_redundant_cut;95.8;100.0
3s;only_cut_position;86.7;100.0
3s;both_reductions;82.5;100.0
3s;priced;9.6;
A1s;complete;45333;2040
A1s;only_redundant_cut;96.5;100.0
A1s;only_cut_position;87.5;100.0
A1s;both_reductions;84.0;100.0
A1s;priced;7.4;
A2s;complete;61047;2276
A2s;only_redundant_cut;93.9;100.0
A2s;only_cut_position;81.5;100.0
A2s;both_reductions;75.4;100.0
A2s;priced;10.1;
STS2s;complete;118036;3383
STS2s;only_redundant_cut;98.6;100.0
STS2s;only_cut_position;90.4;100.0
STS2s;both_reductions;89.1;100.0
STS2s;priced;7.5;
OF1;complete;38608;2098
OF1;only_redundant_cut;99.1;100.0
OF1;only_cut_position;90.2;100.0
OF1;both_reductions;89.3;100.0
OF1;priced;15.6;
OF2;complete;37261;2110
OF2;only_redundant_cut;98.2;100.0
OF2;only_cut_position;86.8;100.0
OF2;both_reductions;85.0;100.0
OF2;priced;23.9;
W;complete;38485;1860
W;only_redundant_cut;95.8;100.0
W;only_cut_position;86.7;100.0
W;both_reductions;82.5;100.0
W;priced;9.8;
CHL2s;complete;57567;2348
CHL2s;only_redundant_cut;97.2;100.0
CHL2s;only_cut_position;85.6;100.0
CHL2s;both_reductions;82.8;100.0
CHL2s;priced;33.3;
A3;complete;134164;3752
A3;only_redundant_cut;96.1;100.0
A3;only_cut_position;88.7;100.0
A3;both_reductions;84.8;100.0
A3;priced;16.8;
A4;complete;179759;4860
A4;only_redundant_cut;99.1;100.0
A4;only_cut_position;92.4;100.0
A4;both_reductions;91.5;100.0
A4;priced;26.9;
CHL5;complete;2858;345
CHL5;only_redundant_cut;100.0;100.0
CHL5;only_cut_position;87.8;100.0
CHL5;both_reductions;87.8;100.0
CHL5;priced;39.0;
Hchl8s;complete;13997;896
Hchl8s;only_redundant_cut;100.0;100.0
Hchl8s;only_cut_position;94.0;100.0
Hchl8s;both_reductions;94.0;100.0
Hchl8s;priced;93.9;
cgcut1;complete;801;140
cgcut1;only_redundant_cut;99.9;100.0
cgcut1;only_cut_position;93.5;100.0
cgcut1;both_reductions;93.4;100.0
cgcut1;priced;36.1;
cgcut2;complete;52590;2017
cgcut2;only_redundant_cut;98.5;100.0
cgcut2;only_cut_position;94.6;100.0
cgcut2;both_reductions;93.1;100.0
cgcut2;priced;13.4;
cgcut3;complete;38485;1860
cgcut3;only_redundant_cut;95.8;100.0
cgcut3;only_cut_position;86.7;100.0
cgcut3;both_reductions;82.5;100.0
cgcut3;priced;28.6;
HH;complete;141167;5486
HH;only_redundant_cut;99.0;100.0
HH;only_cut_position;97.1;100.0
HH;both_reductions;96.1;100.0
HH;priced;67.3;
2;complete;52590;2017
2;only_redundant_cut;98.5;100.0
2;only_cut_position;94.6;100.0
2;both_reductions;93.1;100.0
2;priced;11.3;
3;complete;38485;1860
3;only_redundant_cut;95.8;100.0
3;only_cut_position;86.7;100.0
3;both_reductions;82.5;100.0
3;priced;30.0;
A1;complete;45333;2040
A1;only_redundant_cut;96.5;100.0
A1;only_cut_position;87.5;100.0
A1;both_reductions;84.0;100.0
A1;priced;12.9;
A2;complete;61047;2276
A2;only_redundant_cut;93.9;100.0
A2;only_cut_position;81.5;100.0
A2;both_reductions;75.4;100.0
A2;priced;36.5;
STS2;complete;118036;3383
STS2;only_redundant_cut;98.6;100.0
STS2;only_cut_position;90.4;100.0
STS2;both_reductions;89.1;100.0
STS2;priced;18.1;
CHL2;complete;57567;2348
CHL2;only_redundant_cut;97.2;100.0
CHL2;only_cut_position;85.6;100.0
CHL2;both_reductions;82.8;100.0
CHL2;priced;32.0;
Hchl9;complete;130738;3666
Hchl9;only_redundant_cut;98.8;100.0
Hchl9;only_cut_position;91.5;100.0
Hchl9;both_reductions;90.2;100.0
Hchl9;priced;13.4;
cgcut1;restricted;68.7;92.9
CHL5;restricted;61.9;94.2
Hchl8s;restricted;50.0;94.5
OF2;restricted;15.9;43.6
cgcut3;restricted;26.2;57.3
wang20;restricted;26.2;57.3
3;restricted;26.2;57.3
3s;restricted;26.2;57.3
W;restricted;26.2;57.3
OF1;restricted;23.9;63.7
gcut1;restricted;7.2;11.6
A1;restricted;21.2;48.2
A1s;restricted;21.2;48.2
cgcut2;restricted;17.3;50.5
2;restricted;17.3;50.5
2s;restricted;17.3;50.5
CHL2;restricted;16.1;45.1
CHL2s;restricted;16.1;45.1
A2;restricted;22.1;46.6
A2s;restricted;22.1;46.6
STS2;restricted;36.5;64.5
STS2s;restricted;36.5;64.5
Hchl9;restricted;40.8;68.2
A3;restricted;20.7;49.6
HH;restricted;6.3;29.2
A4;restricted;26.5;61.7
gcut5;restricted;2.6;5.1
okp1;restricted;29.5;99.7
okp3;restricted;42.1;94.2
okp4;restricted;40.2;99.9
okp2;restricted;43.9;96.8
CU1;restricted;9.4;30.7
STS4;restricted;19.0;55.6
STS4s;restricted;19.0;55.6
okp5;restricted;33.8;96.8
CW1;restricted;12.9;40.6
gcut9;restricted;1.3;2.1
A5;restricted;15.6;54.3
Hchl4s;restricted;13.0;59.1
Hchl3s;restricted;13.0;59.1
CHL1;restricted;26.2;63.0
CHL1s;restricted;26.2;63.0
CHL6;restricted;24.3;62.2
Hchl2;restricted;23.4;61.0
CHL7;restricted;23.2;61.0
CW2;restricted;9.0;31.7
CU2;restricted;9.9;33.4
gcut2;restricted;2.6;11.1
gcut6;restricted;1.3;4.3
gcut3;restricted;3.7;17.2
gcut10;restricted;0.8;1.8
CW3;restricted;6.8;28.1
gcut4;restricted;6.3;24.6
Hchl6s;restricted;8.1;41.2
gcut7;restricted;1.3;7.1
Hchl7s;restricted;15.8;54.3
gcut8;restricted;2.4;15.5
gcut11;restricted;0.5;4.0
gcut12;restricted;0.7;6.4
cgcut1;after_restricted_pricing;27.1;
CHL5;after_restricted_pricing;60.0;
Hchl8s;after_restricted_pricing;49.9;
OF2;after_restricted_pricing;13.3;
cgcut3;after_restricted_pricing;24.3;
wang20;after_restricted_pricing;13.4;
3;after_restricted_pricing;25.1;
3s;after_restricted_pricing;13.4;
W;after_restricted_pricing;10.5;
OF1;after_restricted_pricing;10.1;
gcut1;after_restricted_pricing;3.6;
A1;after_restricted_pricing;20.7;
A1s;after_restricted_pricing;3.6;
cgcut2;after_restricted_pricing;17.1;
2;after_restricted_pricing;17.1;
2s;after_restricted_pricing;17.1;
CHL2;after_restricted_pricing;13.7;
CHL2s;after_restricted_pricing;13.7;
A2;after_restricted_pricing;21.9;
A2s;after_restricted_pricing;8.8;
STS2;after_restricted_pricing;19.2;
STS2s;after_restricted_pricing;13.7;
Hchl9;after_restricted_pricing;40.4;
A3;after_restricted_pricing;8.4;
HH;after_restricted_pricing;6.3;
A4;after_restricted_pricing;24.5;
gcut5;after_restricted_pricing;2.0;
okp1;after_restricted_pricing;28.1;
okp3;after_restricted_pricing;42.1;
okp4;after_restricted_pricing;39.3;
okp2;after_restricted_pricing;43.9;
CU1;after_restricted_pricing;1.6;
STS4;after_restricted_pricing;17.4;
STS4s;after_restricted_pricing;17.6;
okp5;after_restricted_pricing;33.6;
CW1;after_restricted_pricing;12.8;
gcut9;after_restricted_pricing;0.7;
A5;after_restricted_pricing;13.9;
Hchl4s;after_restricted_pricing;13.0;
Hchl3s;after_restricted_pricing;12.4;
CHL1;after_restricted_pricing;26.1;
CHL1s;after_restricted_pricing;23.5;
CHL6;after_restricted_pricing;21.4;
Hchl2;after_restricted_pricing;23.2;
CHL7;after_restricted_pricing;21.3;
CW2;after_restricted_pricing;8.3;
CU2;after_restricted_pricing;2.6;
gcut2;after_restricted_pricing;0.9;
gcut6;after_restricted_pricing;0.5;
gcut3;after_restricted_pricing;1.0;
gcut10;after_restricted_pricing;0.5;
CW3;after_restricted_pricing;6.5;
gcut4;after_restricted_pricing;1.4;
Hchl6s;after_restricted_pricing;6.5;
gcut7;after_restricted_pricing;0.4;
Hchl7s;after_restricted_pricing;15.8;
gcut8;after_restricted_pricing;0.4;
gcut11;after_restricted_pricing;0.2;
gcut12;after_restricted_pricing;0.2;
