instance_name;pricing_method;qt_pevars_priced_restricted;qt_cmvars_priced_restricted;qt_plates_priced_restricted;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;heuristic_lb;restricted_obj_value;restricted_obj_bound;restricted_lp_stop_reason;restricted_stop_reason;solved_priced_restricted_model;enumeration_time;heuristic_lb_time;restricted_pricing_time;iterative_pricing_time;final_pricing_time;total_pricing_time;final_root_relaxation_time;final_solving_time;obj_value;solution_profit;obj_bound;total_instance_time;build_and_solve_time;run_total_time;run_ended_by_exception;had_timeout;build_stop_reason;datafile
../instances/P2_200_100_50_1;furini;4231;370524;12999;-1;-1;-1;20164.0;25679.0;26233.0;MathOptInterface.OPTIMAL;MathOptInterface.TIME_LIMIT;false;0.042741886;1.725924885;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.400375531;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:02:27/jl_9Dz2eJ
../instances/P1_100_200_50_1;furini;3436;535190;15283;-1;-1;-1;23771.0;28388.0;28504.0;MathOptInterface.OPTIMAL;MathOptInterface.TIME_LIMIT;false;0.055787655;1.876546588;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10801.491662266;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:02:27/jl_BjcAqH
../instances/P3_250_250_50_1;none;-1;-1;-1;4683;5345836;52488;57337.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.257106776;2.030400637;NaN;NaN;NaN;NaN;6440.14;10781.389815331;59072.0;59072.0;76117.0;NaN;10801.829539060593;10805.157311723;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_D23UhG
../instances/P3_150_150_25_1;furini;1672;272551;14720;1670;182410;11131;25091.0;29896.0;29896.0;MathOptInterface.OPTIMAL;MathOptInterface.OPTIMAL;true;0.034596831;0.988087147;470.7237401008606;868.1575629711151;2.1321640014648438;1341.014332291;18.93;53.360473389;29989.0;29989.0;29989.0;1395.100818496;1394.9845011234283;1395.254597005;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_EF6bLK
../instances/P4_250_250_50_1;none;-1;-1;-1;2391;5716803;54308;64657.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.26155331;2.307437338;NaN;NaN;NaN;NaN;NaN;10781.10902959;65326.0;65326.0;9.823089e6;NaN;10803.213766098022;10806.871973975;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_Kt9t6G
../instances/P2_400_100_25_1;none;-1;-1;-1;1231;1991809;22223;34731.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.067033934;2.834383782;NaN;NaN;NaN;NaN;541.19;10791.17153461;49947.0;49947.0;50365.95081555938;NaN;10800.375238895416;10801.748823638;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_NN7GOI
../instances/P4_150_150_25_1;furini;1445;270983;13467;-1;-1;-1;23873.0;30870.0;31094.985380150647;MathOptInterface.OPTIMAL;MathOptInterface.TIME_LIMIT;false;0.029889093;1.088170278;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.336809846;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:02:27/jl_PIrmDG
../instances/P4_150_150_50_1;furini;2391;607506;17508;2327;215046;15659;25684.0;31673.0;31673.0;MathOptInterface.OPTIMAL;MathOptInterface.OPTIMAL;true;0.051826399;1.758717175;2471.655891895294;1963.6007001399994;3.0524098873138428;4438.310132021;72.97;111.552433971;31673.0;31673.0;31673.0;4550.752428659;4550.600561141968;4550.929102626;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_PWr8SI
../instances/P2_400_100_25_1;furini;1229;360042;22220;-1;-1;-1;34731.0;49327.0;50218.0;MathOptInterface.OPTIMAL;MathOptInterface.TIME_LIMIT;false;0.075851551;2.717719566;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.409442337;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:02:27/jl_RPvgOI
../instances/P4_150_150_25_1;none;-1;-1;-1;1445;542740;13467;23873.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.030438404;1.094036325;NaN;NaN;NaN;NaN;65.25;5430.007645013;30923.0;30923.0;30923.0;5433.24168832;5432.877722978592;5433.458888481;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_T0HilH
