instance_name;pricing_method;disabled_redundant_cut;disabled_cut_position;pricing_time;total_instance_time;qt_piece_types;qt_cmvars_pre_pricing;qt_plates_pre_pricing;qt_cmvars_pre_purge;qt_plates_pre_purge;qt_cmvars_pos_purge;qt_plates_pos_purge;finished;datafile
../instances/A3;furini;false;false;9.609409795000001;10.226065653;20;115152;3752;23715;3752;13709;2500;true;./experiments_outputs/2020-05-30T23:26:05/jl_OHmF1i
../instances/gcut7;furini;false;false;1533.767930922;1548.89130105;30;2464583;100545;431101;100545;65927;15221;true;./experiments_outputs/2020-05-30T23:26:05/jl_OKgXx2
../instances/2s;none;false;true;NaN;0.264785106;10;51585;2017;51585;2017;51585;2017;true;./experiments_outputs/2020-05-29T21:37:37/jl_OVixtb
../instances/CHL1s;none;false;true;NaN;3.536615047;30;546548;10402;546548;10402;546548;10402;true;./experiments_outputs/2020-05-29T21:37:37/jl_OhjOwM
../instances/Hchl2;none;false;true;NaN;5.261986708;35;819964;12594;819964;12594;819964;12594;true;./experiments_outputs/2020-05-29T21:37:37/jl_Ok8SUC
../instances/okp5;none;false;false;NaN;2.386137857;29;358577;9506;358577;9506;358577;9506;true;./experiments_outputs/2020-05-29T21:37:37/jl_P7WbRJ
../instances/CHL7;none;false;false;NaN;4.792687773;35;772618;12594;772618;12594;772618;12594;true;./experiments_outputs/2020-05-29T21:37:37/jl_PMnW8T
../instances/CHL1;furini;false;false;429.72279214300005;433.777516205;30;519161;10402;306332;10402;300813;10099;true;./experiments_outputs/2020-05-30T23:26:05/jl_Px56RR
../instances/CU2;none;true;false;NaN;5.037134682;35;750644;16068;750644;16068;750644;16068;true;./experiments_outputs/2020-05-29T21:37:37/jl_QcKR0N
../instances/STS2s;none;false;true;NaN;0.638387962;30;116893;3383;116893;3383;116893;3383;true;./experiments_outputs/2020-05-29T21:37:37/jl_QhxAsC
../instances/A2s;none;false;true;NaN;0.292743447;20;58158;2276;58158;2276;58158;2276;true;./experiments_outputs/2020-05-29T21:37:37/jl_QvHfwJ
../instances/wang20;none;false;true;NaN;0.305032329;20;37275;1860;37275;1860;37275;1860;true;./experiments_outputs/2020-05-29T21:37:37/jl_QzF6Vm
../instances/CW3;none;true;true;NaN;18.745586723;40;2837822;33224;2837822;33224;2837822;33224;true;./experiments_outputs/2020-05-29T21:37:37/jl_R2WAnt
../instances/CHL5;none;false;true;NaN;0.043996216;10;2846;345;2846;345;2846;345;true;./experiments_outputs/2020-05-29T21:37:37/jl_RCclRz
../instances/CHL2s;none;true;true;NaN;0.274858511;10;57557;2348;57557;2348;57557;2348;true;./experiments_outputs/2020-05-29T21:37:37/jl_RVXDuL
../instances/CHL1;none;true;false;NaN;3.3077525;30;521599;10402;521599;10402;521599;10402;true;./experiments_outputs/2020-05-29T21:37:37/jl_RXR3iK
../instances/A1s;none;false;true;NaN;0.206071923;20;44305;2040;44305;2040;44305;2040;true;./experiments_outputs/2020-05-29T21:37:37/jl_RYm9QR
../instances/HH;none;true;false;NaN;0.7514037;5;137007;5486;137007;5486;137007;5486;true;./experiments_outputs/2020-05-29T21:37:37/jl_SL1ZSL
../instances/cgcut2;none;false;true;NaN;0.260044947;10;51585;2017;51585;2017;51585;2017;true;./experiments_outputs/2020-05-29T21:37:37/jl_Sv97pP
../instances/Hchl2;none;true;true;NaN;5.292856841;35;828526;12594;828526;12594;828526;12594;true;./experiments_outputs/2020-05-29T21:37:37/jl_SxaiCa
../instances/okp3;none;true;true;NaN;1.635366251;30;261044;8356;261044;8356;261044;8356;true;./experiments_outputs/2020-05-29T21:37:37/jl_T6seiw
../instances/HH;none;false;true;NaN;0.803095647;5;139772;5486;139772;5486;139772;5486;true;./experiments_outputs/2020-05-29T21:37:37/jl_T97yr0
../instances/OF2;none;false;false;NaN;0.173082877;10;31632;2110;31632;2110;31632;2110;true;./experiments_outputs/2020-05-29T21:37:37/jl_TC0ZBZ
../instances/gcut9;none;false;true;NaN;2.930177301;10;437963;38936;437963;38936;437963;38936;true;./experiments_outputs/2020-05-29T21:37:37/jl_TnUxY7
../instances/gcut5;none;false;true;NaN;1.438066266;10;236251;25336;236251;25336;236251;25336;true;./experiments_outputs/2020-05-29T21:37:37/jl_TrnSW7
