instance_name;round2disc;faithful;threads;seed;build_and_solve_time;total_instance_time;enumeration_time;rnr_solved_by_simplex;rnr_solved_by_primal;rnr_solved_by_dual;final_root_relaxation_time;final_root_relaxation_value;final_solving_time;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;run_total_time;solution_profit;solution_value;run_ended_by_exception;had_timeout;build_stop_reason;datafile
../instances/W;false;false;1;1;0.07089996337890625;0.078021789;0.000543951;false;false;false;0.02;22.5;0.044528381;871;1910;672;871;1910;672;0.173569972;-1;23;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_JVPEtv
../instances/CHL1;false;false;1;1;1394.3571331501007;1394.420721821;0.013782853;false;false;false;21.37;4.98376628;1394.028256594;7222;102569;6556;7222;102569;6556;1394.520671152;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_KLaulv
../instances/Hchl4s;false;false;12;1;6.9403650760650635;6.995422426;0.009515908;false;false;false;4.0;1.70345427;6.694529615;2080;79430;5712;2080;79430;5712;7.107721456;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_MJM43r
../instances/Hchl9;false;false;12;1;6.47166895866394;6.495187588;0.003165421;false;false;false;1.05;9.26657923;6.358799467;4441;32866;2499;4441;32866;2499;6.59832949;-1;10;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_N6zzgv
../instances/Hchl6s;false;false;12;1;347.74827694892883;347.890446719;0.089278123;false;false;false;54.83;4.2180083;346.723204123;36175;205659;18370;36175;205659;18370;348.001468927;-1;5;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_NEPyvv
../instances/CU2;false;false;12;1;1.3056330680847168;1.330910834;0.016677069;true;true;false;0.36;13.50742;1.189599126;24104;14225;4463;24104;14225;4463;1.433678016;-1;14;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_Ng7pcv
../instances/OF2;false;false;12;1;0.08902692794799805;0.09223359;0.000529771;true;true;false;0.02;3.441176;0.060605186;362;2400;730;362;2400;730;0.188456249;-1;4;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_Ngwn8u
../instances/CHL6;false;false;12;1;10800.030506134033;NaN;0.025813593;false;false;false;11.06;4.79387821;10799.581345575;9767;150361;8187;9767;150361;8187;10801.073078913;-1;6;true;true;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_OVEXav
../instances/Hchl4s;false;false;1;1;67.8084659576416;67.858866505;0.009107132;false;false;false;12.15;1.70345427;67.570529411;2080;79430;5712;2080;79430;5712;67.965694691;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_Ovehyu
../instances/CU1;false;false;1;1;0.5191099643707275;0.529883866;0.002899347;false;false;false;0.26;11.034062;0.465490676;7549;6350;2079;7549;6350;2079;0.625657189;-1;12;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_PNAoFt
